"feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"Romboutsia","Cohort","Cow",4.32435895745889,0.117264416652393,2208,1454,2.88900227839029e-232,9.47592747312015e-230
"Weissella","Cohort","Cow",4.80948195600615,0.131069412333653,2208,1277,2.25495697382027e-230,3.69812943706525e-228
"UCG.005","Cohort","Cow",4.44431148878737,0.135410866939051,2208,1345,1.21205263080718e-192,1.32517754301585e-190
"Turicibacter","Cohort","Cow",3.61177223378004,0.110819180991636,2208,1297,1.81035701769112e-190,1.48449275450672e-188
"Paeniclostridium","Cohort","Cow",3.27043310933129,0.103969847951502,2208,1227,1.18051562391391e-179,7.74418249287522e-178
"Clostridium.sensu.stricto.1","Cohort","Cow",3.15185585679728,0.109006708435522,2208,1238,1.54390885198753e-154,8.44003505753184e-153
"Lachnospiraceae.NK3A20.group","Cohort","Cow",3.03054446997132,0.10633109067317,2208,1075,2.51905133511684e-152,1.18035548274046e-150
"Pseudomonas","Cohort","Cow",3.33813891135697,0.133894320928944,2208,1314,5.18329993375106e-121,2.12515297283794e-119
"Bacteroides","Cohort","Cow",2.89826900780591,0.116468319148497,2208,1139,1.5186498343426e-120,5.53463495182638e-119
"Clostridioides","Cohort","Cow",2.30199703148501,0.096454993075259,2208,893,3.6614214267342e-112,1.20094622796882e-110
"Christensenellaceae.R.7.group","Cohort","Cow",2.36597163519839,0.101163736906017,2208,949,3.17888683560693e-108,9.47886256435522e-107
"Rikenellaceae.RC9.gut.group","Cohort","Cow",2.51192692857002,0.109931310633175,2208,961,7.55072552271072e-104,2.0638649762076e-102
"Jeotgalibaca","Cohort","Cow",2.01513503413587,0.0885491509706563,2208,887,4.3121903162443e-103,1.08799878748318e-101
"Romboutsia","Cohort","Farmer",2.81149291150329,0.135315169091927,2208,1454,1.14709960585971e-87,2.3515541920124e-86
"Enterococcus","Cohort","Cow",1.73766398045261,0.0869901645278466,2208,644,1.02979200798899e-81,1.87650988122437e-80
"UCG.005","Cohort","Farmer",3.11146090098457,0.156511226273058,2208,1345,5.69929705102235e-81,9.83878648808069e-80
"Prevotellaceae.UCG.003","Cohort","Cow",1.76891463317895,0.0903011138284924,2208,785,8.01662556770401e-79,1.31472659310346e-77
"Turicibacter","Cohort","Farmer",2.36598559720316,0.127762731775682,2208,1297,3.0721189908322e-71,4.38110882170852e-70
"Monoglobus","Cohort","Cow",1.30033599883872,0.0763137503407435,2208,600,2.98461978121394e-61,4.07898036765905e-60
"NK4A214.group","Cohort","Cow",1.14613865797819,0.0681426695919623,2208,586,8.30619041102273e-60,1.04785786723671e-58
"Paeniclostridium","Cohort","Farmer",1.99761478810388,0.119784457785689,2208,1227,7.20686498921845e-59,8.75500635727278e-58
"Prevotellaceae.UCG.004","Cohort","Cow",1.1834069186314,0.0710430787425327,2208,555,5.72162988866631e-58,6.70248072672339e-57
"Ignavigranum","Cohort","Cow",1.11749149364571,0.0707448187618114,2208,561,2.54812209374203e-53,2.88201395430133e-52
"Aerosphaera","Cohort","Cow",1.13304111677472,0.0742114507943631,2208,492,4.59996446266857e-50,4.86705917340416e-49
"UCG.001","Cohort","Cow",0.976747769030371,0.0645939490310702,2208,468,3.2924784679305e-49,3.37479042962876e-48
"Phascolarctobacterium","Cohort","Cow",0.89434807440174,0.058992062789059,2208,500,3.3979815963911e-49,3.37738776853418e-48
"Cellulosilyticum","Cohort","Cow",0.892164561852967,0.0597191126782815,2208,480,3.85121463065739e-48,3.71528940839889e-47
"Pedobacter","Cohort","Cow",1.22935917638035,0.0832675505589918,2208,639,1.75805154842321e-46,1.64754545109375e-45
"Kurthia","Cohort","Cow",1.03661723456409,0.0716614291214702,2208,414,2.26743570580234e-45,2.06588586528658e-44
"Neorhizobium","Cohort","Cow",1.20686729915516,0.0856375205496956,2208,554,3.04671032934277e-43,2.62979207374849e-42
"Clostridium.sensu.stricto.1","Cohort","Farmer",1.75104471600181,0.125636789741425,2208,1238,3.26047115149024e-42,2.74213984022769e-41
"Caryophanon","Cohort","Cow",1.05224756734704,0.0755712209659608,2208,469,5.63891357767612e-42,4.62390913369442e-41
